Id,~GroupKey,~memo,DropRewardId,PickOrder,Grade,Count,Weight
100099,,챕2 - 봉인된 무기함,211400,0,Elite,1,730
100100,,,211400,0,Epic,1,200
100101,,,211400,0,Legend,1,70
100102,,챕2 - 봉인된 장신구함,211500,0,Elite,1,730
100103,,,211500,0,Epic,1,200
100104,,,211500,0,Legend,1,70
100105,,챕2 - 의식용 상자,211600,0,Elite,1,730
100106,,,211600,0,Epic,1,200
100107,,,211600,0,Legend,1,70
100108,,챕2 - 캐비닛,211700,0,Elite,1,850
100109,,,211700,0,Epic,1,100
100110,,,211700,0,Legend,1,50
100111,,챕2 - 전기 장비함,211800,0,Elite,1,850
100112,,,211800,0,Epic,1,100
100113,,,211800,0,Legend,1,50
100114,,챕2 - 수상한 틈,212000,0,Elite,1,730
100115,,,212000,0,Epic,1,200
100116,,,212000,0,Legend,1,70
100117,,챕2 - 저주받은 결계함,212100,0,Elite,1,730
100118,,,212100,0,Epic,1,200
100119,,,212100,0,Legend,1,70
100120,,챕2 - 잡동사니 박스,212200,0,Elite,1,850
100121,,,212200,0,Epic,1,100
100122,,,212200,0,Legend,1,50
100123,,마네킹 (여성),221000,0,Elite,1,850
100124,,,221000,0,Epic,1,100
100125,,,221000,0,Legend,1,50
100126,,마네킹 (남성),221100,0,Elite,1,850
100127,,,221100,0,Epic,1,100
100128,,,221100,0,Legend,1,50
100129,,빨간 마스크,221200,0,Elite,1,850
100130,,,221200,0,Epic,1,100
100131,,,221200,0,Legend,1,50
100132,,소방수 - 도끼,221300,0,Elite,1,850
100133,,,221300,0,Epic,1,100
100134,,,221300,0,Legend,1,50
100135,,소방수 - 방패,221400,0,Elite,1,850
100136,,,221400,0,Epic,1,100
100137,,,221400,0,Legend,1,50
100138,,소방수 - 화염방사,221500,0,Elite,1,850
100139,,,221500,0,Epic,1,100
100140,,,221500,0,Legend,1,50
100141,,거미,221600,0,Elite,1,850
100142,,,221600,0,Epic,1,100
100143,,,221600,0,Legend,1,50
100144,,모니터맨,221700,0,Elite,1,850
100145,,,221700,0,Epic,1,100
100146,,,221700,0,Legend,1,50
100147,,박테리오파지,221800,0,Elite,1,850
100148,,,221800,0,Epic,1,100
100149,,,221800,0,Legend,1,50
100150,,오버로드,221900,0,Elite,1,850
100151,,,221900,0,Epic,1,100
100152,,,221900,0,Legend,1,50
100153,,순찰 유령 (시티),222000,0,Elite,1,850
100154,,,222000,0,Epic,1,100
100155,,,222000,0,Legend,1,50
100156,,딥원,222100,0,Elite,1,850
100157,,,222100,0,Epic,1,100
100158,,,222100,0,Legend,1,50
100159,,시티 보스 - 클리너,222200,0,Elite,1,500
100160,,,222200,0,Epic,1,400
100161,,,222200,0,Legend,1,100
100162,,시티 보스 - 팔척귀신,222300,0,Elite,1,500
100163,,,222300,0,Epic,1,400
100164,,,222300,0,Legend,1,100
100165,,시티 보스 - 다크영(시티),222400,0,Elite,1,400
100166,,,222400,0,Epic,1,500
100167,,,222400,0,Legend,1,100
100168,,빅맨 엘리트 (시티),222500,0,Elite,1,600
100169,,,222500,0,Epic,1,350
100170,,,222500,0,Legend,1,50
100171,,야마이누 물안경 (시티),222600,0,Elite,1,600
100172,,,222600,0,Epic,1,350
100173,,,222600,0,Legend,1,50
100174,,야마이누 점박이 (시티),222700,0,Elite,1,600
100175,,,222700,0,Epic,1,350
100176,,,222700,0,Legend,1,50
100177,,좀비 도끼 간호사 (시티),222800,0,Elite,1,600
100178,,,222800,0,Epic,1,350
100179,,,222800,0,Legend,1,50
100180,,좀비 금발 수영복 (시티),222900,0,Elite,1,600
100181,,,222900,0,Epic,1,350
100182,,,222900,0,Legend,1,50
100183,,좀비 안경 (시티),223000,0,Elite,1,600
100184,,,223000,0,Epic,1,350
100185,,,223000,0,Legend,1,50
100186,,좀비 요리사 (시티),223100,0,Elite,1,600
100187,,,223100,0,Epic,1,350
100188,,,223100,0,Legend,1,50
100189,,좀비 군인 (시티),223200,0,Elite,1,600
100190,,,223200,0,Epic,1,350
100191,,,223200,0,Legend,1,50
100192,,좀비 소방관 (시티),223300,0,Elite,1,600
100193,,,223300,0,Epic,1,350
100194,,,223300,0,Legend,1,50
100195,,인형탈 핑크 (시티),223400,0,Elite,1,600
100196,,,223400,0,Epic,1,350
100197,,,223400,0,Legend,1,50
100198,,인형탈 레드 고양이 (시티),223500,0,Elite,1,600
100199,,,223500,0,Epic,1,350
100200,,,223500,0,Legend,1,50
100201,,평사도 크리스마스 (시티),223600,0,Elite,1,600
100202,,,223600,0,Epic,1,350
100203,,,223600,0,Legend,1,50
100204,,평사도 도끼머리 (시티),223700,0,Elite,1,600
100205,,,223700,0,Epic,1,350
100206,,,223700,0,Legend,1,50
100207,,사도 블랙 (시티),223800,0,Elite,1,600
100208,,,223800,0,Epic,1,350
100209,,,223800,0,Legend,1,50
100210,,사도 블루 (시티),223900,0,Elite,1,600
100211,,,223900,0,Epic,1,350
100212,,,223900,0,Legend,1,50
100213,,타운2 미니언 몬스터 (야생),224000,0,Elite,1,850
100214,,,224000,0,Epic,1,100
100215,,,224000,0,Legend,1,50
100216,,타운2 미니언 몬스터 (좀비),224100,0,Elite,1,850
100217,,,224100,0,Epic,1,100
100218,,,224100,0,Legend,1,50
100219,,타운2 미니언 몬스터 (교단),224200,0,Elite,1,850
100220,,,224200,0,Epic,1,100
100221,,,224200,0,Legend,1,50
100222,,타운2 일반 몬스터 (야생),224300,0,Elite,1,850
100223,,,224300,0,Epic,1,100
100224,,,224300,0,Legend,1,50
100225,,타운2 일반 몬스터 (좀비),224400,0,Elite,1,850
100226,,,224400,0,Epic,1,100
100227,,,224400,0,Legend,1,50
100228,,타운2 일반 몬스터 (교단),224500,0,Elite,1,850
100229,,,224500,0,Epic,1,100
100230,,,224500,0,Legend,1,50
100231,,타운2 엘리트 몬스터 (야생),224600,0,Elite,1,850
100232,,,224600,0,Epic,1,100
100233,,,224600,0,Legend,1,50
100234,,타운2 엘리트 몬스터 (좀비),224700,0,Elite,1,850
100235,,,224700,0,Epic,1,100
100236,,,224700,0,Legend,1,50
100237,,타운2 엘리트 몬스터 (교단),224800,0,Elite,1,850
100238,,,224800,0,Epic,1,100
100239,,,224800,0,Legend,1,50
100240,,타운2 보스 - 야마이누 보스,224900,0,Elite,1,500
100241,,,224900,0,Epic,1,400
100242,,,224900,0,Legend,1,100
100243,,타운2 보스 - 경찰 빅맨 보스,225000,0,Elite,1,500
100244,,,225000,0,Epic,1,400
100245,,,225000,0,Legend,1,100
100246,,타운2 보스 - 소울콜렉터,225100,0,Elite,1,500
100247,,,225100,0,Epic,1,400
100248,,,225100,0,Legend,1,100
100249,,챕터2 - 용병 그룹,225200,0,Elite,1,850
100250,,,225200,0,Epic,1,100
100251,,,225200,0,Legend,1,50
