Id,Memo,MaxStackCount,Duration,EffectTag,BuffEffects,ShowBuffIcon,ShowActiveText,Triggers,InactiveInLounge,IsDespairEffect
1206,듀라한 불멸 액션 중 무적,1,2.2,"None","[{""$type"":""GameCommon.Data.InvincibilityEffect, De.Base"",""BlockDamage"":true,""IgnoreBackAttack"":true,""IgnoreCriticalHit"":true,""BlockStressDamage"":true,""BlockEnemyHit"":false,""UseStatValue"":false,""StatType"":""None"",""StatPercent"":""0.000"",""EffectType"":""Invincibility""},{""$type"":""GameCommon.Data.ImmunityEffect, De.Base"",""ImmunityEffectTags"":-98305,""DispelOnApply"":true,""UseStatValue"":false,""StatType"":""None"",""StatPercent"":""0.000"",""EffectType"":""Immunity"",""IsFullImmunity"":false}]",False,False,,False,False
1207,듀라한 실드 패시브 (아군 있을 때),1,-1,"None","[{""$type"":""GameCommon.Data.ShieldOnDamageProvideEffect, De.Base"",""ShieldId"":100001,""Percent"":""5.000"",""UseStatValue"":false,""StatType"":""None"",""StatPercent"":""0.000"",""EffectType"":""ShieldOnDamageProvide""}]",False,False,"[{""$type"":""GameCommon.Data.NearbyUnitCountBuffTrigger, De.Base"",""Relation"":""AllyExceptOwner"",""Range"":""4.000"",""CompareType"":""GreaterEqual"",""CompareValue"":""1.000"",""NearUnitConditionTriggers"":[]}]",False,False
2000,레인저 트랩,1,4,"None","[{""$type"":""GameCommon.Data.RootEffect, De.Base"",""UseStatValue"":false,""StatType"":""None"",""StatPercent"":""0.000"",""EffectType"":""Root""}]",False,False,,False,False
2001,야마이누 출혈,3,8,"Bleed","[{""$type"":""GameCommon.Data.DotHpDamageEffect, De.Base"",""TickAmount"":1,""UseStatValue"":true,""StatType"":""Atk"",""StatPercent"":""6.000"",""EffectType"":""DotHpDamage""}]",True,False,,False,False
2002,좀비 독,3,10,"Poison","[{""$type"":""GameCommon.Data.DotHpDamageEffect, De.Base"",""TickAmount"":1,""UseStatValue"":true,""StatType"":""Atk"",""StatPercent"":""5.000"",""EffectType"":""DotHpDamage""}]",True,False,,False,False
2003,야마이누 보스 평타 출혈,3,10,"Bleed","[{""$type"":""GameCommon.Data.DotHpDamageEffect, De.Base"",""TickAmount"":1,""UseStatValue"":true,""StatType"":""Atk"",""StatPercent"":""2.500"",""EffectType"":""DotHpDamage""},{""$type"":""GameCommon.Data.SlowEffect, De.Base"",""SlowType"":""MoveSlow"",""value"":""-12.000"",""UseStatValue"":false,""StatType"":""None"",""StatPercent"":""0.000"",""EffectType"":""Slow""}]",True,False,,False,False
2004,빅맨 보스 화상,1,20,"Burn","[{""$type"":""GameCommon.Data.DotRangeHpDamageEffect, De.Base"",""TargetType"":""Ally"",""Range"":""2.500"",""TickAmount"":1,""UseStatValue"":true,""StatType"":""Atk"",""StatPercent"":""8.000"",""EffectType"":""DotRangeHpDamage""}]",True,False,,False,False
2005,인형탈 출혈,1,10,"Bleed","[{""$type"":""GameCommon.Data.DotHpDamageEffect, De.Base"",""TickAmount"":1,""UseStatValue"":true,""StatType"":""Atk"",""StatPercent"":""5.000"",""EffectType"":""DotHpDamage""}]",True,False,,False,False
2006,사도2 화상,1,15,"Burn","[{""$type"":""GameCommon.Data.DotRangeHpDamageEffect, De.Base"",""TargetType"":""Ally"",""Range"":""2.500"",""TickAmount"":1,""UseStatValue"":true,""StatType"":""Atk"",""StatPercent"":""5.000"",""EffectType"":""DotRangeHpDamage""}]",True,False,,False,False
2007,소울콜렉터 출혈,1,15,"Bleed","[{""$type"":""GameCommon.Data.DotHpDamageEffect, De.Base"",""TickAmount"":1,""UseStatValue"":true,""StatType"":""Atk"",""StatPercent"":""2.500"",""EffectType"":""DotHpDamage""}]",True,False,,False,False
2008,사로잡힌 영혼 자폭 화상,3,25,"Burn","[{""$type"":""GameCommon.Data.DotRangeHpDamageEffect, De.Base"",""TargetType"":""Ally"",""Range"":""2.500"",""TickAmount"":1,""UseStatValue"":true,""StatType"":""Atk"",""StatPercent"":""4.000"",""EffectType"":""DotRangeHpDamage""}]",True,False,,False,False
2009,빅맨 방깎,1,8,"DefReduction","[{""$type"":""GameCommon.Data.StatEffect, De.Base"",""statType"":""DefPercent"",""statValue"":""-20.000"",""showEffect"":false,""UseStatValue"":false,""StatType"":""None"",""StatPercent"":""0.000"",""EffectType"":""Stat""}]",True,False,,False,False
2010,사도 슬로우,1,3.5,"Slow","[{""$type"":""GameCommon.Data.SlowEffect, De.Base"",""SlowType"":""MoveSlow"",""value"":""-35.000"",""UseStatValue"":false,""StatType"":""None"",""StatPercent"":""0.000"",""EffectType"":""Slow""}]",True,False,,False,False
2011,고위 사도 이속증가,1,10,"None","[{""$type"":""GameCommon.Data.StatEffect, De.Base"",""statType"":""MoveSpeedPercent"",""statValue"":""25.000"",""showEffect"":false,""UseStatValue"":false,""StatType"":""None"",""StatPercent"":""0.000"",""EffectType"":""Stat""}]",True,False,,False,False
2014,소울콜렉터 영혼 버프,999,-1,"None","[{""$type"":""GameCommon.Data.StatEffect, De.Base"",""statType"":""AtkPercent"",""statValue"":""2.000"",""showEffect"":false,""UseStatValue"":false,""StatType"":""None"",""StatPercent"":""0.000"",""EffectType"":""Stat""}]",True,False,,False,False
2015,좀비 출혈,3,10,"Bleed","[{""$type"":""GameCommon.Data.DotHpDamageEffect, De.Base"",""TickAmount"":1,""UseStatValue"":true,""StatType"":""Atk"",""StatPercent"":""5.000"",""EffectType"":""DotHpDamage""}]",True,False,,False,False
2016,사도 구속,1,1.5,"Root","[{""$type"":""GameCommon.Data.RootEffect, De.Base"",""UseStatValue"":false,""StatType"":""None"",""StatPercent"":""0.000"",""EffectType"":""Root""}]",True,False,,False,False
2017,사로잡힌 영혼 약화,1,5,"Weaken","[{""$type"":""GameCommon.Data.StatEffect, De.Base"",""statType"":""AtkPercent"",""statValue"":""-15.000"",""showEffect"":false,""UseStatValue"":false,""StatType"":""None"",""StatPercent"":""0.000"",""EffectType"":""Stat""}]",True,False,,False,False
2018,소울콜렉터 잡몹 자폭 체크용,1,-1,"None","[]",False,False,,False,False
2019,소울콜렉터 보스 판정용 버프,1,-1,"None","[]",False,False,,False,False
2020,소울콜렉터 텔포 혼란,1,2.5,"Confuse","[{""$type"":""GameCommon.Data.ConfusionEffect, De.Base"",""UseStatValue"":false,""StatType"":""None"",""StatPercent"":""0.000"",""EffectType"":""Confusion""}]",True,False,,False,False
2021,야마이누 물안경 슬로우,5,1.5,"Slow","[{""$type"":""GameCommon.Data.SlowEffect, De.Base"",""SlowType"":""MoveSlow"",""value"":""-10.000"",""UseStatValue"":false,""StatType"":""None"",""StatPercent"":""0.000"",""EffectType"":""Slow""}]",True,False,,False,False
2022,야마이누 점박이 출혈,8,8,"Bleed","[{""$type"":""GameCommon.Data.DotHpDamageEffect, De.Base"",""TickAmount"":1,""UseStatValue"":true,""StatType"":""Atk"",""StatPercent"":""4.000"",""EffectType"":""DotHpDamage""}]",True,False,,False,False
2023,평사도 엘리트 도끼머리 슬로우,3,4,"Bleed","[{""$type"":""GameCommon.Data.SlowEffect, De.Base"",""SlowType"":""MoveSlow"",""value"":""-20.000"",""UseStatValue"":false,""StatType"":""None"",""StatPercent"":""0.000"",""EffectType"":""Slow""}]",True,False,,False,False
2024,평사도 엘리트 도끼머리 헤이스트,1,6,"None","[{""$type"":""GameCommon.Data.StatEffect, De.Base"",""statType"":""MoveSpeed"",""statValue"":""1.500"",""showEffect"":false,""UseStatValue"":false,""StatType"":""None"",""StatPercent"":""0.000"",""EffectType"":""Stat""}]",False,False,,False,False
2025,인형탈 엘리트 핑크 헤이스트,1,1.5,"None","[{""$type"":""GameCommon.Data.StatEffect, De.Base"",""statType"":""MoveSpeed"",""statValue"":""1.700"",""showEffect"":false,""UseStatValue"":false,""StatType"":""None"",""StatPercent"":""0.000"",""EffectType"":""Stat""}]",False,False,,False,False
2026,인형탈 엘리트 레드 헤이스트,1,1,"None","[{""$type"":""GameCommon.Data.StatEffect, De.Base"",""statType"":""MoveSpeed"",""statValue"":""1.600"",""showEffect"":false,""UseStatValue"":false,""StatType"":""None"",""StatPercent"":""0.000"",""EffectType"":""Stat""}]",False,False,,False,False
2027,사도 엘리트 장판 이속 증가,1,1,"None","[{""$type"":""GameCommon.Data.StatEffect, De.Base"",""statType"":""MoveSpeedPercent"",""statValue"":""30.000"",""showEffect"":false,""UseStatValue"":false,""StatType"":""None"",""StatPercent"":""0.000"",""EffectType"":""Stat""}]",True,False,,False,False
2028,몬스터 하울링 중 뎀감,1,3,"None","[{""$type"":""GameCommon.Data.StatEffect, De.Base"",""statType"":""ReductionDamagePercent"",""statValue"":""80.000"",""showEffect"":false,""UseStatValue"":false,""StatType"":""None"",""StatPercent"":""0.000"",""EffectType"":""Stat""}]",False,False,,False,False
2029,좀비 앨리트 독,4,8,"Poison","[{""$type"":""GameCommon.Data.DotHpDamageEffect, De.Base"",""TickAmount"":1,""UseStatValue"":true,""StatType"":""Atk"",""StatPercent"":""3.000"",""EffectType"":""DotHpDamage""}]",True,False,,False,False
2030,좀비 엘리트 간호사 공격력 증가,1,5,"None","[{""$type"":""GameCommon.Data.StatEffect, De.Base"",""statType"":""AtkPercent"",""statValue"":""20.000"",""showEffect"":false,""UseStatValue"":false,""StatType"":""None"",""StatPercent"":""0.000"",""EffectType"":""Stat""}]",True,False,,False,False
2031,빨간 마스크 출혈,3,8,"Bleed","[{""$type"":""GameCommon.Data.DotHpDamageEffect, De.Base"",""TickAmount"":1,""UseStatValue"":true,""StatType"":""Atk"",""StatPercent"":""6.000"",""EffectType"":""DotHpDamage""}]",True,False,,False,False
2032,빨간 마스크 공격력 증가,1,10,"None","[{""$type"":""GameCommon.Data.StatEffect, De.Base"",""statType"":""AtkPercent"",""statValue"":""20.000"",""showEffect"":false,""UseStatValue"":false,""StatType"":""None"",""StatPercent"":""0.000"",""EffectType"":""Stat""}]",False,False,,False,False
2033,팔척귀신 영혼 자폭 체크,1,-1,"None","[]",False,False,,False,False
2034,팔척귀신 헤이스트,1,10,"None","[{""$type"":""GameCommon.Data.StatEffect, De.Base"",""statType"":""MoveSpeedPercent"",""statValue"":""50.000"",""showEffect"":false,""UseStatValue"":false,""StatType"":""None"",""StatPercent"":""0.000"",""EffectType"":""Stat""}]",True,False,,False,False
2035,팔척귀신 보스 판정용 버프,1,-1,"None","[]",False,False,,False,False
2036,팔척귀신 문지방 슬로우,10,3.5,"Slow","[{""$type"":""GameCommon.Data.StatEffect, De.Base"",""statType"":""MoveSpeedPercent"",""statValue"":""-5.000"",""showEffect"":false,""UseStatValue"":false,""StatType"":""None"",""StatPercent"":""0.000"",""EffectType"":""Stat""}]",False,False,,False,False
2037,다크영 암흑분출 암흑,1,2,"Blind","[{""$type"":""GameCommon.Data.BlindEffect, De.Base"",""UseStatValue"":false,""StatType"":""None"",""StatPercent"":""0.000"",""EffectType"":""Blind""},{""$type"":""GameCommon.Data.StatEffect, De.Base"",""statType"":""MoveSpeedPercent"",""statValue"":""-25.000"",""showEffect"":false,""UseStatValue"":false,""StatType"":""None"",""StatPercent"":""0.000"",""EffectType"":""Stat""}]",True,False,,False,False
2038,딥원 점프공격 슬로우,1,1.5,"Slow","[{""$type"":""GameCommon.Data.StatEffect, De.Base"",""statType"":""MoveSpeedPercent"",""statValue"":""-40.000"",""showEffect"":false,""UseStatValue"":false,""StatType"":""None"",""StatPercent"":""0.000"",""EffectType"":""Stat""}]",False,False,,False,False
2039,오버로드 근접 속박,1,1.1,"Root","[{""$type"":""GameCommon.Data.RootEffect, De.Base"",""UseStatValue"":false,""StatType"":""None"",""StatPercent"":""0.000"",""EffectType"":""Root""}]",True,False,,False,False
2040,몹 공용 헤이스트,1,3.5,"None","[{""$type"":""GameCommon.Data.StatEffect, De.Base"",""statType"":""MoveSpeedPercent"",""statValue"":""40.000"",""showEffect"":false,""UseStatValue"":false,""StatType"":""None"",""StatPercent"":""0.000"",""EffectType"":""Stat""}]",False,False,,False,False
